Date,Origin,Destination,Average_Price
2022-01-01,Mumbai,Delhi,7500
2022-02-01,Mumbai,Delhi,6950
2022-03-01,Mumbai,Delhi,7950
2022-04-01,Mumbai,Delhi,8600
2022-05-01,Mumbai,Delhi,8550
2022-06-01,Mumbai,Delhi,8950
2022-07-01,Mumbai,Delhi,9250
2022-08-01,Mumbai,Delhi,8550
2022-09-01,Mumbai,Delhi,7250
2022-10-01,Mumbai,Delhi,8150
2022-11-01,Mumbai,Delhi,8750
2022-12-01,Mumbai,Delhi,10150
2023-01-01,Mumbai,Delhi,7650
2023-02-01,Mumbai,Delhi,6700
2023-03-01,Mumbai,Delhi,7600
2023-04-01,Mumbai,Delhi,8300
2023-05-01,Mumbai,Delhi,8600
2023-06-01,Mumbai,Delhi,9350
2023-07-01,Mumbai,Delhi,8900
2023-08-01,Mumbai,Delhi,8250
2023-09-01,Mumbai,Delhi,7950
2023-10-01,Mumbai,Delhi,8200
2023-11-01,Mumbai,Delhi,9150
2023-12-01,Mumbai,Delhi,10200
2024-01-01,Mumbai,Delhi,7700
2024-02-01,Mumbai,Delhi,7400
2024-03-01,Mumbai,Delhi,8000
2024-04-01,Mumbai,Delhi,8800
2024-05-01,Mumbai,Delhi,9000
2024-06-01,Mumbai,Delhi,9500
2024-07-01,Mumbai,Delhi,9250
2024-08-01,Mumbai,Delhi,9350
2024-09-01,Mumbai,Delhi,7850
2024-10-01,Mumbai,Delhi,8250
2024-11-01,Mumbai,Delhi,9600
2024-12-01,Mumbai,Delhi,10550
2025-01-01,Mumbai,Delhi,8100
2025-02-01,Mumbai,Delhi,7100
2025-03-01,Mumbai,Delhi,8150
2025-04-01,Mumbai,Delhi,9000
2025-05-01,Mumbai,Delhi,9600
2025-06-01,Mumbai,Delhi,9900
2025-07-01,Mumbai,Delhi,9650
2025-08-01,Mumbai,Delhi,9050
2025-09-01,Mumbai,Delhi,7700
2025-10-01,Mumbai,Delhi,8600
2025-11-01,Mumbai,Delhi,9550
2025-12-01,Mumbai,Delhi,11450
2026-01-01,Mumbai,Delhi,8350
2026-02-01,Mumbai,Delhi,7400
2026-03-01,Mumbai,Delhi,8800
2026-04-01,Mumbai,Delhi,9100
2026-05-01,Mumbai,Delhi,9500
2026-06-01,Mumbai,Delhi,10250
2026-07-01,Mumbai,Delhi,10200
2026-08-01,Mumbai,Delhi,9600
2026-09-01,Mumbai,Delhi,8050
2026-10-01,Mumbai,Delhi,8950
2026-11-01,Mumbai,Delhi,10000
2026-12-01,Mumbai,Delhi,11750
2022-01-01,Mumbai,Goa,4200
2022-02-01,Mumbai,Goa,4050
2022-03-01,Mumbai,Goa,4300
2022-04-01,Mumbai,Goa,4500
2022-05-01,Mumbai,Goa,5250
2022-06-01,Mumbai,Goa,5600
2022-07-01,Mumbai,Goa,5150
2022-08-01,Mumbai,Goa,5150
2022-09-01,Mumbai,Goa,4400
2022-10-01,Mumbai,Goa,4550
2022-11-01,Mumbai,Goa,5250
2022-12-01,Mumbai,Goa,6400
2023-01-01,Mumbai,Goa,4550
2023-02-01,Mumbai,Goa,4700
2023-03-01,Mumbai,Goa,4150
2023-04-01,Mumbai,Goa,5250
2023-05-01,Mumbai,Goa,5300
2023-06-01,Mumbai,Goa,5500
2023-07-01,Mumbai,Goa,5500
2023-08-01,Mumbai,Goa,4650
2023-09-01,Mumbai,Goa,4500
2023-10-01,Mumbai,Goa,5050
2023-11-01,Mumbai,Goa,5800
2023-12-01,Mumbai,Goa,6200
2024-01-01,Mumbai,Goa,4550
2024-02-01,Mumbai,Goa,4400
2024-03-01,Mumbai,Goa,5250
2024-04-01,Mumbai,Goa,5400
2024-05-01,Mumbai,Goa,5450
2024-06-01,Mumbai,Goa,5950
2024-07-01,Mumbai,Goa,5750
2024-08-01,Mumbai,Goa,5650
2024-09-01,Mumbai,Goa,4600
2024-10-01,Mumbai,Goa,5100
2024-11-01,Mumbai,Goa,5650
2024-12-01,Mumbai,Goa,6250
2025-01-01,Mumbai,Goa,5050
2025-02-01,Mumbai,Goa,4800
2025-03-01,Mumbai,Goa,5250
2025-04-01,Mumbai,Goa,5500
2025-05-01,Mumbai,Goa,5450
2025-06-01,Mumbai,Goa,6000
2025-07-01,Mumbai,Goa,5900
2025-08-01,Mumbai,Goa,5450
2025-09-01,Mumbai,Goa,4950
2025-10-01,Mumbai,Goa,5550
2025-11-01,Mumbai,Goa,6450
2025-12-01,Mumbai,Goa,7000
2026-01-01,Mumbai,Goa,5300
2026-02-01,Mumbai,Goa,4900
2026-03-01,Mumbai,Goa,5050
2026-04-01,Mumbai,Goa,5800
2026-05-01,Mumbai,Goa,6100
2026-06-01,Mumbai,Goa,7000
2026-07-01,Mumbai,Goa,6200
2026-08-01,Mumbai,Goa,6000
2026-09-01,Mumbai,Goa,5200
2026-10-01,Mumbai,Goa,5400
2026-11-01,Mumbai,Goa,6550
2026-12-01,Mumbai,Goa,7450
2022-01-01,Mumbai,Srinagar,13250
2022-02-01,Mumbai,Srinagar,12100
2022-03-01,Mumbai,Srinagar,14150
2022-04-01,Mumbai,Srinagar,14150
2022-05-01,Mumbai,Srinagar,15350
2022-06-01,Mumbai,Srinagar,16500
2022-07-01,Mumbai,Srinagar,15400
2022-08-01,Mumbai,Srinagar,14650
2022-09-01,Mumbai,Srinagar,13050
2022-10-01,Mumbai,Srinagar,14100
2022-11-01,Mumbai,Srinagar,15250
2022-12-01,Mumbai,Srinagar,18150
2023-01-01,Mumbai,Srinagar,13000
2023-02-01,Mumbai,Srinagar,12650
2023-03-01,Mumbai,Srinagar,13800
2023-04-01,Mumbai,Srinagar,15150
2023-05-01,Mumbai,Srinagar,15300
2023-06-01,Mumbai,Srinagar,16150
2023-07-01,Mumbai,Srinagar,16150
2023-08-01,Mumbai,Srinagar,14750
2023-09-01,Mumbai,Srinagar,13350
2023-10-01,Mumbai,Srinagar,14800
2023-11-01,Mumbai,Srinagar,15550
2023-12-01,Mumbai,Srinagar,18500
2024-01-01,Mumbai,Srinagar,13550
2024-02-01,Mumbai,Srinagar,12950
2024-03-01,Mumbai,Srinagar,13950
2024-04-01,Mumbai,Srinagar,14650
2024-05-01,Mumbai,Srinagar,15900
2024-06-01,Mumbai,Srinagar,16550
2024-07-01,Mumbai,Srinagar,16250
2024-08-01,Mumbai,Srinagar,15400
2024-09-01,Mumbai,Srinagar,13350
2024-10-01,Mumbai,Srinagar,14750
2024-11-01,Mumbai,Srinagar,16250
2024-12-01,Mumbai,Srinagar,18550
2025-01-01,Mumbai,Srinagar,14200
2025-02-01,Mumbai,Srinagar,13100
2025-03-01,Mumbai,Srinagar,14200
2025-04-01,Mumbai,Srinagar,15400
2025-05-01,Mumbai,Srinagar,15750
2025-06-01,Mumbai,Srinagar,16950
2025-07-01,Mumbai,Srinagar,16750
2025-08-01,Mumbai,Srinagar,15350
2025-09-01,Mumbai,Srinagar,13950
2025-10-01,Mumbai,Srinagar,15050
2025-11-01,Mumbai,Srinagar,16700
2025-12-01,Mumbai,Srinagar,19550
2026-01-01,Mumbai,Srinagar,13900
2026-02-01,Mumbai,Srinagar,13000
2026-03-01,Mumbai,Srinagar,14500
2026-04-01,Mumbai,Srinagar,15300
2026-05-01,Mumbai,Srinagar,16250
2026-06-01,Mumbai,Srinagar,17150
2026-07-01,Mumbai,Srinagar,16800
2026-08-01,Mumbai,Srinagar,16000
2026-09-01,Mumbai,Srinagar,13950
2026-10-01,Mumbai,Srinagar,15550
2026-11-01,Mumbai,Srinagar,16650
2026-12-01,Mumbai,Srinagar,20050
2022-01-01,Delhi,Goa,10250
2022-02-01,Delhi,Goa,9300
2022-03-01,Delhi,Goa,10350
2022-04-01,Delhi,Goa,11300
2022-05-01,Delhi,Goa,11700
2022-06-01,Delhi,Goa,12500
2022-07-01,Delhi,Goa,12200
2022-08-01,Delhi,Goa,11400
2022-09-01,Delhi,Goa,9850
2022-10-01,Delhi,Goa,10600
2022-11-01,Delhi,Goa,12000
2022-12-01,Delhi,Goa,14200
2023-01-01,Delhi,Goa,10350
2023-02-01,Delhi,Goa,9400
2023-03-01,Delhi,Goa,10900
2023-04-01,Delhi,Goa,11550
2023-05-01,Delhi,Goa,11800
2023-06-01,Delhi,Goa,12650
2023-07-01,Delhi,Goa,12400
2023-08-01,Delhi,Goa,11400
2023-09-01,Delhi,Goa,10400
2023-10-01,Delhi,Goa,11350
2023-11-01,Delhi,Goa,12650
2023-12-01,Delhi,Goa,14600
2024-01-01,Delhi,Goa,10200
2024-02-01,Delhi,Goa,9700
2024-03-01,Delhi,Goa,11250
2024-04-01,Delhi,Goa,11850
2024-05-01,Delhi,Goa,12400
2024-06-01,Delhi,Goa,13850
2024-07-01,Delhi,Goa,12800
2024-08-01,Delhi,Goa,12200
2024-09-01,Delhi,Goa,10750
2024-10-01,Delhi,Goa,11650
2024-11-01,Delhi,Goa,12550
2024-12-01,Delhi,Goa,14800
2025-01-01,Delhi,Goa,10550
2025-02-01,Delhi,Goa,10100
2025-03-01,Delhi,Goa,11250
2025-04-01,Delhi,Goa,11950
2025-05-01,Delhi,Goa,13150
2025-06-01,Delhi,Goa,12700
2025-07-01,Delhi,Goa,13100
2025-08-01,Delhi,Goa,11800
2025-09-01,Delhi,Goa,10650
2025-10-01,Delhi,Goa,12000
2025-11-01,Delhi,Goa,12900
2025-12-01,Delhi,Goa,14650
2026-01-01,Delhi,Goa,10800
2026-02-01,Delhi,Goa,10550
2026-03-01,Delhi,Goa,11400
2026-04-01,Delhi,Goa,12250
2026-05-01,Delhi,Goa,12800
2026-06-01,Delhi,Goa,13250
2026-07-01,Delhi,Goa,13700
2026-08-01,Delhi,Goa,12600
2026-09-01,Delhi,Goa,10450
2026-10-01,Delhi,Goa,12000
2026-11-01,Delhi,Goa,13000
2026-12-01,Delhi,Goa,15450
2022-01-01,Delhi,Mumbai,8100
2022-02-01,Delhi,Mumbai,7800
2022-03-01,Delhi,Mumbai,8850
2022-04-01,Delhi,Mumbai,9400
2022-05-01,Delhi,Mumbai,9350
2022-06-01,Delhi,Mumbai,10050
2022-07-01,Delhi,Mumbai,9800
2022-08-01,Delhi,Mumbai,9200
2022-09-01,Delhi,Mumbai,8700
2022-10-01,Delhi,Mumbai,9100
2022-11-01,Delhi,Mumbai,9600
2022-12-01,Delhi,Mumbai,11750
2023-01-01,Delhi,Mumbai,9050
2023-02-01,Delhi,Mumbai,8300
2023-03-01,Delhi,Mumbai,8600
2023-04-01,Delhi,Mumbai,9350
2023-05-01,Delhi,Mumbai,10250
2023-06-01,Delhi,Mumbai,10200
2023-07-01,Delhi,Mumbai,10300
2023-08-01,Delhi,Mumbai,9850
2023-09-01,Delhi,Mumbai,8250
2023-10-01,Delhi,Mumbai,9250
2023-11-01,Delhi,Mumbai,9400
2023-12-01,Delhi,Mumbai,11550
2024-01-01,Delhi,Mumbai,8650
2024-02-01,Delhi,Mumbai,7950
2024-03-01,Delhi,Mumbai,9600
2024-04-01,Delhi,Mumbai,9350
2024-05-01,Delhi,Mumbai,10050
2024-06-01,Delhi,Mumbai,10700
2024-07-01,Delhi,Mumbai,10850
2024-08-01,Delhi,Mumbai,9550
2024-09-01,Delhi,Mumbai,9000
2024-10-01,Delhi,Mumbai,9500
2024-11-01,Delhi,Mumbai,10250
2024-12-01,Delhi,Mumbai,12250
2025-01-01,Delhi,Mumbai,9000
2025-02-01,Delhi,Mumbai,8300
2025-03-01,Delhi,Mumbai,9450
2025-04-01,Delhi,Mumbai,9850
2025-05-01,Delhi,Mumbai,10500
2025-06-01,Delhi,Mumbai,11100
2025-07-01,Delhi,Mumbai,11150
2025-08-01,Delhi,Mumbai,9850
2025-09-01,Delhi,Mumbai,9500
2025-10-01,Delhi,Mumbai,9250
2025-11-01,Delhi,Mumbai,10700
2025-12-01,Delhi,Mumbai,12600
2026-01-01,Delhi,Mumbai,9250
2026-02-01,Delhi,Mumbai,8500
2026-03-01,Delhi,Mumbai,9650
2026-04-01,Delhi,Mumbai,10100
2026-05-01,Delhi,Mumbai,10550
2026-06-01,Delhi,Mumbai,11450
2026-07-01,Delhi,Mumbai,11100
2026-08-01,Delhi,Mumbai,10250
2026-09-01,Delhi,Mumbai,9400
2026-10-01,Delhi,Mumbai,10050
2026-11-01,Delhi,Mumbai,11200
2026-12-01,Delhi,Mumbai,12900
2022-01-01,Srinagar,Mumbai,14000
2022-02-01,Srinagar,Mumbai,13300
2022-03-01,Srinagar,Mumbai,15200
2022-04-01,Srinagar,Mumbai,15950
2022-05-01,Srinagar,Mumbai,16600
2022-06-01,Srinagar,Mumbai,17400
2022-07-01,Srinagar,Mumbai,17400
2022-08-01,Srinagar,Mumbai,15950
